Player,Pos,Team,CR,Base_Projection,Enhanced_Projection,Is_Starter
D. Oturu,C,,12.0,137.2120193181817,160.57908967335354,0
M. Ndiaye,C,,7.5,87.24695238095241,91.04102683899356,0
T. Luwawu-cabarrot,F,,12.0,153.93078472222214,207.99554032458258,0
I. Mike,F,,9.0,122.72560490620499,145.7278639226421,0
E. Osmani,F,,9.4,110.21714563492064,130.87496462782283,0
N. Hifi,G,,13.9,173.95327088744597,265.92609185377324,0
T. Dorsey,G,,11.5,132.32940193001437,178.52169702711203,0
O. Moore,G,,11.2,132.1491078823953,168.03737936114524,0
A. Obst,G,,8.2,121.4166894300145,147.33329144854946,0
S. Herrera,G,,5.1,69.87709262265514,77.77729771286248,1
